user,a6d9bDERMgJ8CgOHwquoG,LZK4RILvq6lNKfIBDtpPT,uEFvWyp7i_JTr61rMgvpc,pyNjv9i4A3WcRNK_mfmmq,wRKLb6zxuAPIsTWicXEb2,I-XBG_1NlWo0pc1YUVTsq,haeNlgCfyaVev3_bqw4HP,WP_erMqa4hMgzo4YZPl-9,CShKY0dgwWXKFG6XeV8w3,eaxrkYopmtY9uMfdftOeD,_0-Dtu4abTAclzMPpk2op,8B1cT3-y-kQ8mgVgYywEv,xvKGJTxwjwJCiGyEeGjLn,gFwoTXkAcAckZCCs9-hbJ,M05QqnDZEu0Fj6qrTtdSG,f46DJlKR6QY5XAVvrTq0X,I5mbktxDVDrpS56_2ZzlF,az0rNSr8I83DWRGHt1RpJ,feohhCkiAl599S9HGKkpe,PBOTslQiQDWkz7n6gtRRy,9c-zdRbtNg4rWX0JrWRsv,cDi1Vfe9LPRtbZfMieOXg,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,rULbr8lif98CPD6bBowhQ,9BZANXTjpc2b8C8In5cY4,YCqKzGcQqZykIIWJe40QE,aifYnRrToVksZwh5Ka_rS,NQe3sR8pKUyqvQfmCSsPc,k0wpzFVmnn3NZgTqck0W_,hQZvZIseJXyUFJEZ78-fz,DZObnpKPO3cobSJWA6zaK,Rl4CQwZ4w4Y6sClp5VCS0,tLvSFKbPT-mpYhiAIxGEe,AzsGJVwqQOEKbtdYSngED
pUV9RWUsVI-S3UReLVeLY,0,6,7,4,7,9,3,10,6,1,12,4,2,9,8,5,15,6,1,15,1,7,8,,12,9,12,8,9,9,13,13,2,10,2
rULbr8lif98CPD6bBowhQ,0,7,9,3,7,15,1,6,4,0,10,4,1,6,8,11,10,6,1,16,0,5,7,12,,8,22,7,7,4,7,12,2,16,4
9BZANXTjpc2b8C8In5cY4,3,9,13,4,3,10,3,12,9,4,12,3,4,10,14,11,11,5,2,12,2,7,6,9,8,,13,7,11,10,9,11,4,7,2
YCqKzGcQqZykIIWJe40QE,,3,10,3,2,9,1,12,2,0,14,3,3,7,10,9,18,9,2,19,1,3,17,12,22,13,,12,4,7,8,9,3,11,5
aifYnRrToVksZwh5Ka_rS,3,12,4,3,9,7,0,11,9,4,6,3,6,6,12,11,8,5,1,16,3,4,8,8,7,7,12,,12,8,11,14,7,6,6
NQe3sR8pKUyqvQfmCSsPc,2,9,9,2,13,11,4,12,9,5,9,1,9,4,10,6,11,6,2,6,4,13,3,9,7,11,4,12,,10,14,6,29,10,37
k0wpzFVmnn3NZgTqck0W_,0,8,3,1,4,8,4,9,5,1,12,3,3,7,7,7,8,7,3,9,0,7,6,9,4,10,7,8,10,,13,12,5,3,4
hQZvZIseJXyUFJEZ78-fz,3,14,9,5,5,6,4,7,8,6,7,1,3,2,13,11,5,0,5,12,5,4,6,13,7,9,8,11,14,13,,7,8,5,10
DZObnpKPO3cobSJWA6zaK,1,10,11,3,6,14,0,14,11,3,21,2,2,12,9,10,15,6,4,11,1,2,15,13,12,11,9,14,6,12,7,,4,14,8
Rl4CQwZ4w4Y6sClp5VCS0,15,9,3,3,9,5,3,3,4,17,6,1,4,5,10,3,3,3,4,10,5,5,3,2,2,4,3,7,29,5,8,4,,2,21
tLvSFKbPT-mpYhiAIxGEe,1,9,16,2,7,13,1,9,5,4,8,4,3,10,5,11,8,6,2,10,1,8,12,10,16,7,11,6,10,3,5,14,2,,1
AzsGJVwqQOEKbtdYSngED,11,10,2,1,12,4,2,6,6,11,7,0,4,3,11,7,6,1,3,7,6,14,4,2,4,2,5,6,37,4,10,8,21,1,
